Metric,Score
Accuracy,0.8913043478260869
Precision,0.8727272727272727
Recall,0.9411764705882353
F1 Score,0.9056603773584906
Matthews Correlation Coefficient,0.78097353522214
ROC AUC,0.9325681492109038
